GAME_ID,TEAM_NAME_HOME,TEAM_NAME_AWAY,TEAM_ELO_BEFORE_HOME,TEAM_ELO_BEFORE_AWAY,TEAM_ELO_AFTER_HOME,TEAM_ELO_AFTER_AWAY
21300003,Los Angeles Lakers,Los Angeles Clippers,1500,1500,1509.8508997545005,1490.1491002454995
21300001,Indiana Pacers,Orlando Magic,1500,1500,1508.3432372858385,1491.6567627141615
21300002,Miami Heat,Chicago Bulls,1500,1500,1509.3551966442667,1490.6448033557333
21300015,Phoenix Suns,Portland Trail Blazers,1500,1500,1509.8508997545005,1490.1491002454995
21300005,Philadelphia 76ers,Miami Heat,1500,1509.3551966442667,1505.210201931794,1504.1449947124727
21300016,Sacramento Kings,Denver Nuggets,1500,1500,1503.88468596865,1496.11531403135
21300013,San Antonio Spurs,Memphis Grizzlies,1500,1500,1506.7636311164738,1493.2363688835262
21300008,New York Knicks,Milwaukee Bucks,1500,1500,1506.7636311164738,1493.2363688835262
21300004,Cleveland Cavaliers,Brooklyn Nets,1500,1500,1505.0846181745605,1494.9153818254395
21300017,Golden State Warriors,Los Angeles Lakers,1500,1509.8508997545005,1518.4719559704467,1491.3789437840537
21300012,Dallas Mavericks,Atlanta Hawks,1500,1500,1507.8257309068115,1492.1742690931885
21300009,Houston Rockets,Charlotte Bobcats,1500,1500,1509.8508997545005,1490.1491002454995
21300006,Toronto Raptors,Boston Celtics,1500,1500,1506.2169005625956,1493.7830994374044
21300014,Utah Jazz,Oklahoma City Thunder,1500,1500,1500.0,1500.0
21300011,New Orleans Pelicans,Indiana Pacers,1500,1508.3432372858385,1497.2953606573492,1511.0478766284893
21300007,Detroit Pistons,Washington Wizards,1500,1500,1508.8528344320187,1491.1471655679813
21300010,Minnesota Timberwolves,Orlando Magic,1500,1491.6567627141615,1505.4597071600142,1486.1970555541473
21300019,Los Angeles Clippers,Golden State Warriors,1490.1491002454995,1518.4719559704467,1499.661595738351,1508.9594604775953
21300018,Chicago Bulls,New York Knicks,1490.6448033557333,1506.7636311164738,1494.032540079805,1503.3758943924022
21300031,Sacramento Kings,Los Angeles Clippers,1503.88468596865,1499.661595738351,1497.155703522163,1506.390578184838
21300026,Memphis Grizzlies,Detroit Pistons,1493.2363688835262,1508.8528344320187,1497.9162171019104,1504.1729862136344
21300022,Washington Wizards,Philadelphia 76ers,1491.1471655679813,1505.210201931794,1486.5234352082723,1509.833932291503
21300028,Brooklyn Nets,Miami Heat,1494.9153818254395,1504.1449947124727,1498.2441513931146,1500.8162251447975
21300030,Phoenix Suns,Utah Jazz,1509.8508997545005,1500.0,1514.1601044725082,1495.6907952819922
21300029,Denver Nuggets,Portland Trail Blazers,1496.11531403135,1490.1491002454995,1484.3692767605073,1501.8951375163422
21300024,Boston Celtics,Milwaukee Bucks,1493.7830994374044,1493.2363688835262,1488.94486483835,1498.0746034825806
21300025,Houston Rockets,Dallas Mavericks,1509.8508997545005,1507.8257309068115,1517.087860704714,1500.5887699565978
21300021,Orlando Magic,New Orleans Pelicans,1486.1970555541473,1497.2953606573492,1499.7521230543923,1483.7402931571041
21300020,Charlotte Bobcats,Cleveland Cavaliers,1490.1491002454995,1505.0846181745605,1496.6109482745485,1498.6227701455116
21300027,Minnesota Timberwolves,Oklahoma City Thunder,1505.4597071600142,1500.0,1517.876555828841,1487.5831513311732
21300032,Los Angeles Lakers,San Antonio Spurs,1491.3789437840537,1506.7636311164738,1487.721382526244,1510.4211923742835
21300023,Atlanta Hawks,Toronto Raptors,1492.1742690931885,1506.2169005625956,1499.1884926143011,1499.202677041483
21300033,Indiana Pacers,Cleveland Cavaliers,1511.0478766284893,1498.6227701455116,1521.3105521106913,1488.3600946633096
