GAME_DATE,SEASON,TEAM_HOME,TEAM_AWAY,TARGET
2021-02-24,2020,0,1,1
2021-03-14,2020,0,2,1
2021-01-02,2020,0,2,0
2021-04-06,2020,0,3,1
2021-05-01,2020,0,4,1
2021-04-09,2020,0,4,1
2021-02-03,2020,0,5,0
2021-02-21,2020,0,6,1
2021-04-04,2020,0,7,1
2021-05-16,2020,0,8,1
2021-01-26,2020,0,9,1
2021-02-01,2020,0,10,0
2021-04-23,2020,0,11,1
2021-04-25,2020,0,12,1
2021-04-15,2020,0,12,0
2021-01-18,2020,0,13,1
2021-01-27,2020,0,14,0
2021-01-04,2020,0,15,0
2021-05-13,2020,0,16,1
2021-04-20,2020,0,16,1
2021-04-18,2020,0,17,1
2021-02-13,2020,0,17,0
2021-01-11,2020,0,18,1
2021-05-05,2020,0,19,1
2021-05-03,2020,0,20,1
2021-03-13,2020,0,21,1
2021-02-12,2020,0,22,0
2021-03-18,2020,0,23,1
2021-02-06,2020,0,24,1
2021-02-04,2020,0,25,0
2021-04-07,2020,0,26,0
2021-05-12,2020,0,27,1
2021-05-10,2020,0,27,1
2021-01-20,2020,0,28,1
2020-12-28,2020,0,28,1
2021-01-06,2020,0,29,0
2021-01-24,2020,1,2,1
2021-03-29,2020,1,3,0
2021-04-19,2020,1,4,0
2021-03-31,2020,1,5,0
2021-02-16,2020,1,6,1
2021-04-17,2020,1,7,1
2021-04-02,2020,1,8,1
2021-03-02,2020,1,9,1
2021-01-30,2020,1,10,0
2021-05-11,2020,1,11,0
2021-05-09,2020,1,11,0
2020-12-23,2020,1,12,1
2021-04-09,2020,1,13,1
2020-12-25,2020,1,14,0
2021-04-07,2020,1,15,1
2021-01-17,2020,1,15,0
2021-03-21,2020,1,16,1
2021-01-15,2020,1,16,1
2021-02-26,2020,1,17,1
2021-04-06,2020,1,18,0
2021-04-22,2020,1,19,1
2021-05-02,2020,1,20,0
2021-03-19,2020,1,21,0
2021-04-30,2020,1,22,1
2021-04-27,2020,1,23,0
2021-03-04,2020,1,24,1
2021-02-11,2020,1,24,1
2021-03-16,2020,1,25,0
2020-12-30,2020,1,26,1
2021-02-28,2020,1,27,1
2021-01-08,2020,1,27,1
2021-02-12,2020,1,28,0
2021-04-28,2020,1,29,1
2021-04-04,2020,1,29,1
2021-04-11,2020,2,3,0
2021-04-21,2020,2,4,1
2021-05-09,2020,2,5,0
2021-02-19,2020,2,6,0
2021-04-15,2020,2,7,0
2021-02-24,2020,2,8,1
2021-02-03,2020,2,9,0
2021-01-25,2020,2,10,0
2021-05-01,2020,2,11,0
2021-02-06,2020,2,12,0
2021-02-05,2020,2,12,0
2021-02-01,2020,2,13,1
2021-01-22,2020,2,14,1
2021-01-20,2020,2,14,1
2021-01-15,2020,2,15,1
2020-12-29,2020,2,15,0
2021-04-28,2020,2,16,0
2021-05-10,2020,2,17,0
2021-03-03,2020,2,17,0
2021-04-01,2020,2,18,0
