GAME_DATE,SEASON,TEAM_HOME,TEAM_AWAY,TARGET
2023-01-22,2022,5,9,0
2022-11-15,2022,5,9,1
2023-02-26,2022,5,10,0
2022-12-25,2022,5,10,1
2023-01-20,2022,5,11,1
2022-12-09,2022,5,12,0
2023-02-13,2022,5,13,0
2022-11-07,2022,5,14,1
2022-12-27,2022,5,15,1
2022-10-30,2022,5,16,1
2023-02-28,2022,5,17,0
2023-03-02,2022,5,18,1
2023-03-05,2022,5,19,0
2022-12-05,2022,5,19,1
2022-12-16,2022,5,20,1
2022-11-12,2022,5,20,1
2023-04-05,2022,5,21,1
2023-04-09,2022,5,22,0
2023-02-23,2022,5,22,1
2022-12-12,2022,5,23,1
2022-10-29,2022,5,23,0
2022-11-04,2022,5,24,1
2023-03-07,2022,5,25,1
2022-11-02,2022,5,25,1
2023-03-13,2022,5,26,0
2022-10-22,2022,5,26,1
2023-01-24,2022,5,27,0
2023-01-30,2022,5,28,1
2023-03-24,2022,5,29,0
2023-04-02,2022,6,7,1
2023-02-02,2022,6,7,1
2022-11-30,2022,6,8,1
2022-11-28,2022,6,8,1
2023-02-26,2022,6,9,1
2023-01-05,2022,6,9,1
2023-01-09,2022,6,10,1
2022-10-26,2022,6,10,1
2022-12-30,2022,6,11,1
2023-03-25,2022,6,12,1
2023-02-07,2022,6,13,1
2023-01-18,2022,6,13,1
2023-03-12,2022,6,14,0
2022-11-16,2022,6,15,0
2023-01-15,2022,6,16,1
2023-01-20,2022,6,17,1
2023-03-27,2022,6,18,1
2023-01-11,2022,6,19,1
2022-12-25,2022,6,19,1
2023-01-17,2022,6,20,1
2022-12-23,2022,6,20,1
2023-04-09,2022,6,21,1
2022-11-05,2022,6,22,1
2023-01-22,2022,6,23,0
2022-10-22,2022,6,23,1
2023-03-06,2022,6,24,1
2022-12-10,2022,6,25,1
2022-10-28,2022,6,25,1
2023-03-03,2022,6,26,1
2022-12-20,2022,6,26,1
2022-12-14,2022,6,27,1
2022-11-22,2022,6,28,0
2022-12-18,2022,6,29,1
2023-02-24,2022,7,8,1
2022-12-03,2022,7,8,1
2023-03-02,2022,7,9,1
2022-11-23,2022,7,9,1
2023-02-11,2022,7,10,0
2022-10-18,2022,7,10,1
2022-10-27,2022,7,11,1
2023-03-11,2022,7,12,1
2023-03-26,2022,7,13,0
2023-02-26,2022,7,13,1
2023-01-22,2022,7,14,0
2022-11-18,2022,7,15,1
2023-01-07,2022,7,16,0
2022-12-05,2022,7,17,0
2023-03-24,2022,7,18,1
2023-03-13,2022,7,19,1
2023-01-10,2022,7,19,0
2023-02-28,2022,7,20,1
2022-12-30,2022,7,20,1
2022-11-07,2022,7,21,1
2022-10-23,2022,7,21,1
2023-03-31,2022,7,22,1
2022-11-14,2022,7,22,1
2023-04-04,2022,7,23,1
2023-02-06,2022,7,23,1
2023-01-27,2022,7,24,1
2022-12-28,2022,7,25,1
2022-11-25,2022,7,25,1
2023-01-25,2022,7,26,1
2022-12-25,2022,7,26,1
2023-02-13,2022,7,27,1
2023-01-04,2022,7,28,0
2022-12-27,2022,7,29,1
2022-11-14,2022,8,9,0
2022-11-02,2022,8,9,0
2023-04-02,2022,8,10,0
2023-03-15,2022,8,10,1
2022-12-15,2022,8,11,0
2022-12-11,2022,8,12,1
2023-01-23,2022,8,13,1
2023-01-08,2022,8,13,0
2023-03-07,2022,8,14,0
2022-12-31,2022,8,15,0
2022-12-21,2022,8,16,0
2022-11-18,2022,8,17,0
2022-12-05,2022,8,18,1
2022-12-13,2022,8,19,1
2022-12-17,2022,8,20,0
2023-02-08,2022,8,21,0
2023-02-06,2022,8,21,0
2023-03-05,2022,8,22,1
2022-12-19,2022,8,22,0
2023-02-01,2022,8,23,1
2022-11-26,2022,8,23,1
2023-02-03,2022,8,24,0
2023-01-05,2022,8,25,0
2022-10-24,2022,8,25,1
2023-03-01,2022,8,26,0
2022-10-21,2022,8,26,0
2023-01-25,2022,8,27,0
2023-03-31,2022,8,28,1
2023-01-18,2022,8,29,0
2023-04-05,2022,9,10,1
2022-11-09,2022,9,10,1
2023-01-02,2022,9,11,0
2023-02-10,2022,9,12,0
2023-02-28,2022,9,13,0
2022-12-14,2022,9,13,1
2022-11-12,2022,9,14,0
2023-03-11,2022,9,15,1
2023-03-18,2022,9,16,0
2022-11-27,2022,9,17,1
2023-01-17,2022,9,18,0
2022-12-15,2022,9,19,0
2022-10-23,2022,9,19,0
2023-04-08,2022,9,20,1
2023-02-24,2022,9,21,0
2022-12-03,2022,9,21,0
2023-01-26,2022,9,22,1
2022-11-19,2022,9,22,1
2023-03-23,2022,9,23,1
2023-03-21,2022,9,23,0
2023-03-08,2022,9,24,1
2022-11-21,2022,9,25,1
2022-11-06,2022,9,25,0
2023-03-05,2022,9,26,1
2022-12-17,2022,9,27,1
2022-11-17,2022,9,28,1
2022-12-21,2022,9,29,1
2023-01-04,2022,10,11,1
2023-02-09,2022,10,12,0
2023-03-03,2022,10,13,0
2022-11-13,2022,10,14,1
2023-03-12,2022,10,15,0
2023-03-19,2022,10,16,1
2022-11-28,2022,10,17,0
2023-01-15,2022,10,18,0
2023-04-07,2022,10,19,1
2023-03-22,2022,10,19,1
2022-11-30,2022,10,20,1
2022-10-23,2022,10,20,0
2023-01-18,2022,10,21,0
2022-11-11,2022,10,21,0
2023-01-25,2022,10,22,1
2022-11-20,2022,10,22,1
2023-03-24,2022,10,23,1
2023-02-07,2022,10,23,0
2023-03-10,2022,10,24,1
2023-04-09,2022,10,25,1
2022-11-04,2022,10,25,0
2023-03-07,2022,10,26,1
2023-01-20,2022,10,26,1
2022-12-18,2022,10,27,1
2022-11-18,2022,10,28,1
2022-12-23,2022,10,29,0
2023-01-14,2022,11,12,1
2023-01-12,2022,11,12,1
2022-12-26,2022,11,13,1
2023-03-25,2022,11,14,0
2023-01-08,2022,11,14,0
2023-03-22,2022,11,15,1
2023-03-03,2022,11,15,0
2023-04-09,2022,11,16,1
2023-01-27,2022,11,16,1
2023-02-08,2022,11,17,1
2022-12-23,2022,11,17,0
2023-03-01,2022,11,18,0
2022-11-14,2022,11,19,1
2022-11-07,2022,11,20,0
2022-11-02,2022,11,21,1
2022-12-10,2022,11,22,0
2023-01-10,2022,11,23,1
2022-10-24,2022,11,24,0
2022-10-22,2022,11,24,1
2023-03-13,2022,11,25,1
2023-03-15,2022,11,26,1
2022-11-25,2022,11,27,1
2022-11-23,2022,11,27,1
2022-12-06,2022,11,28,0
2022-11-12,2022,11,29,1
2022-11-10,2022,11,29,1
2022-12-30,2022,12,13,1
2023-03-09,2022,12,14,1
2022-10-26,2022,12,14,1
2022-10-28,2022,12,15,1
2023-03-01,2022,12,16,1
2023-03-16,2022,12,17,0
2023-01-16,2022,12,17,1
2023-04-02,2022,12,18,1
2023-03-04,2022,12,18,0
2023-02-26,2022,12,19,1
2022-11-21,2022,12,20,1
2022-12-07,2022,12,21,1
2023-03-22,2022,12,22,1
2022-11-05,2022,12,23,1
2023-03-19,2022,12,24,1
2023-01-17,2022,12,24,1
2022-12-17,2022,12,25,1
2023-04-07,2022,12,26,0
2023-01-03,2022,12,27,1
2023-01-01,2022,12,27,0
2022-11-02,2022,12,28,1
2022-10-31,2022,12,28,1
2023-01-31,2022,12,29,1
2023-01-06,2022,12,29,0
2023-03-10,2022,13,14,0
2022-11-07,2022,13,15,0
2023-02-03,2022,13,16,0
2022-12-07,2022,13,17,1
2023-03-07,2022,13,18,0
2023-01-13,2022,13,19,1
2022-11-09,2022,13,19,0
2023-04-02,2022,13,20,0
2023-01-04,2022,13,20,1
2023-01-30,2022,13,21,0
2023-01-28,2022,13,21,1
2022-10-26,2022,13,22,1
2022-10-24,2022,13,22,0
2022-12-03,2022,13,23,0
2022-10-19,2022,13,23,1
2023-01-19,2022,13,24,1
2023-01-16,2022,13,25,0
2022-10-21,2022,13,25,0
2023-01-27,2022,13,26,1
2022-11-30,2022,13,26,1
2023-02-16,2022,13,27,0
2022-12-31,2022,13,28,0
2023-02-24,2022,13,29,0
2023-01-28,2022,14,15,1
2022-11-09,2022,14,15,1
2023-04-07,2022,14,16,1
2022-11-28,2022,14,16,1
2022-10-31,2022,14,17,1
2022-10-29,2022,14,17,0
2023-04-09,2022,14,18,0
2023-02-11,2022,14,18,0
2023-02-07,2022,14,19,0
2022-11-27,2022,14,20,1
2023-03-16,2022,14,21,0
2023-01-02,2022,14,22,1
2023-01-15,2022,14,23,0
2022-12-02,2022,14,24,1
2022-10-21,2022,14,24,1
2023-04-02,2022,14,25,1
2022-11-20,2022,14,26,1
2023-02-04,2022,14,27,1
2022-11-30,2022,14,27,1
2023-01-26,2022,14,28,0
2023-03-05,2022,14,29,1
2022-12-07,2022,14,29,1
2022-10-24,2022,15,16,1
2023-04-09,2022,15,17,0
2023-01-11,2022,15,17,1
2023-02-05,2022,15,18,1
2022-12-25,2022,15,18,0
2023-01-02,2022,15,19,1
2022-11-25,2022,15,20,0
2022-12-11,2022,15,21,1
2023-01-04,2022,15,22,1
2022-11-13,2022,15,23,0
2023-01-16,2022,15,24,0
2022-12-21,2022,15,24,0
2023-02-11,2022,15,25,1
2022-11-27,2022,15,26,0
2023-04-02,2022,15,27,1
2023-01-18,2022,15,27,0
2022-11-11,2022,15,28,1
2022-10-21,2022,15,28,1
2023-03-07,2022,15,29,0
2022-10-26,2022,15,29,1
2023-02-25,2022,16,17,0
2023-01-25,2022,16,17,1
2022-11-27,2022,16,18,0
2022-11-25,2022,16,18,0
2022-11-11,2022,16,19,1
2023-03-05,2022,16,20,0
2022-11-05,2022,16,21,0
2022-12-23,2022,16,22,1
2023-01-04,2022,16,23,1
2022-12-11,2022,16,24,1
2022-12-09,2022,16,24,1
2023-03-09,2022,16,25,0
2023-01-05,2022,16,26,0
2023-03-21,2022,16,27,1
2022-12-30,2022,16,27,0
2023-04-02,2022,16,28,1
2023-02-23,2022,16,28,1
2022-11-14,2022,16,29,0
2022-10-28,2022,16,29,1
2023-03-18,2022,17,18,0
2023-03-06,2022,17,18,0
2023-02-10,2022,17,19,0
2023-01-06,2022,17,20,1
2023-02-03,2022,17,21,1
2022-10-21,2022,17,22,0
2023-03-31,2022,17,23,1
2023-01-02,2022,17,24,1
2022-11-12,2022,17,24,1
2023-02-13,2022,17,25,0
2023-01-14,2022,17,26,0
2022-12-09,2022,17,27,1
2022-10-19,2022,17,27,0
2023-04-07,2022,17,28,0
2022-10-22,2022,17,28,1
2023-01-08,2022,17,29,1
2022-11-07,2022,18,19,1
2023-03-10,2022,18,20,1
2022-12-13,2022,18,21,1
2022-10-22,2022,18,22,0
2023-01-12,2022,18,23,0
2023-03-31,2022,18,24,1
2022-12-19,2022,18,24,1
2022-11-13,2022,18,25,1
2023-02-23,2022,18,26,1
2023-03-12,2022,18,27,1
2022-11-02,2022,18,27,0
2023-01-10,2022,18,28,1
2022-12-21,2022,18,28,1
2022-12-11,2022,18,29,1
2022-11-05,2022,19,20,1
2022-11-04,2022,19,20,0
2023-03-11,2022,19,21,0
2023-02-14,2022,19,21,1
2023-04-04,2022,19,22,1
2023-03-08,2022,19,23,1
2023-02-24,2022,19,23,1
2023-01-30,2022,19,24,1
2022-11-26,2022,19,25,1
2023-01-22,2022,19,26,1
2022-12-23,2022,19,26,0
2022-12-20,2022,19,27,0
2022-11-25,2022,19,28,1
2023-01-24,2022,19,29,1
2023-03-31,2022,20,21,0
2023-03-29,2022,20,21,0
2023-01-23,2022,20,22,1
2022-11-15,2022,20,22,1
2023-03-26,2022,20,23,0
2023-02-10,2022,20,23,0
2023-01-28,2022,20,24,0
2023-01-25,2022,20,25,1
2022-11-19,2022,20,25,0
2022-11-02,2022,20,26,0
2023-02-14,2022,20,27,0
2023-01-02,2022,20,28,1
2022-12-26,2022,20,29,1
2023-04-02,2022,21,22,0
2022-11-17,2022,21,22,1
2023-01-20,2022,21,23,1
2023-01-25,2022,21,24,0
2023-03-25,2022,21,25,1
2022-12-30,2022,21,25,1
2023-01-23,2022,21,26,1
2022-10-27,2022,21,26,0
2022-12-23,2022,21,27,0
2022-11-20,2022,21,28,1
2022-12-19,2022,21,29,0
2023-03-12,2022,22,23,0
2022-11-02,2022,22,24,0
2023-03-29,2022,22,25,0
2022-12-26,2022,22,25,1
2023-03-17,2022,22,26,0
2022-11-09,2022,22,26,0
2023-01-30,2022,22,27,0
2023-01-06,2022,22,28,1
2022-10-19,2022,22,29,0
2022-11-11,2022,23,24,1
2023-03-05,2022,23,25,1
2023-03-03,2022,23,25,1
2023-04-09,2022,23,26,1
2022-12-17,2022,23,26,1
2023-01-06,2022,23,27,1
2023-03-29,2022,23,28,1
2023-03-28,2022,23,29,0
2023-02-10,2022,24,25,0
2022-12-29,2022,24,26,0
2023-03-26,2022,24,27,1
2023-03-24,2022,24,28,1
2023-02-12,2022,24,28,1
2023-01-12,2022,24,29,1
2023-01-10,2022,24,29,1
2022-10-31,2022,25,26,1
2022-10-29,2022,25,26,1
2022-12-22,2022,25,27,1
2022-11-23,2022,25,28,0
2023-01-23,2022,25,29,1
2022-11-06,2022,26,27,1
2022-12-09,2022,26,28,1
2022-11-04,2022,26,29,1
2023-03-14,2022,27,28,1
2022-10-25,2022,27,28,1
2023-02-08,2022,27,29,1
2022-11-20,2022,27,29,1
2023-03-09,2022,28,29,0
2023-02-03,2022,28,29,1
2023-04-09,2022,1,0,1
2022-11-21,2022,2,0,1
2023-02-07,2022,3,0,1
2023-04-04,2022,4,0,0
2023-01-23,2022,4,0,1
2023-01-18,2022,5,0,0
2023-02-04,2022,6,0,1
2023-01-02,2022,7,0,1
2022-11-25,2022,8,0,1
2023-01-08,2022,9,0,0
2023-01-06,2022,10,0,1
2023-03-06,2022,11,0,1
2023-03-04,2022,11,0,1
2022-11-14,2022,12,0,0
2022-10-29,2022,12,0,1
2023-03-22,2022,13,0,1
2023-03-31,2022,14,0,1
2022-12-09,2022,14,0,1
2022-12-07,2022,15,0,1
2022-11-02,2022,15,0,0
2022-12-14,2022,16,0,1
2022-11-30,2022,16,0,0
2023-01-13,2022,17,0,0
2022-12-27,2022,17,0,1
2022-11-28,2022,18,0,1
2022-11-12,2022,18,0,1
2023-02-01,2022,19,0,0
2023-01-30,2022,20,0,1
2023-01-04,2022,21,0,0
2023-03-19,2022,22,0,1
2023-01-25,2022,23,0,0
2023-01-14,2022,24,0,0
2022-10-31,2022,24,0,1
2023-02-03,2022,25,0,0
2022-12-12,2022,26,0,1
2023-03-10,2022,27,0,0
2023-03-08,2022,27,0,0
2022-10-28,2022,28,0,0
2022-10-26,2022,28,0,0
2023-02-13,2022,29,0,1
2022-12-16,2022,29,0,0
2023-03-06,2022,2,1,1
2022-11-02,2022,2,1,1
2022-11-18,2022,3,1,0
2022-11-21,2022,4,1,1
2022-10-24,2022,4,1,1
2023-01-05,2022,5,1,0
2023-01-01,2022,6,1,1
2022-12-10,2022,7,1,1
2023-03-13,2022,8,1,1
2022-12-12,2022,9,1,1
2022-12-13,2022,10,1,0
2023-01-24,2022,11,1,1
2022-10-21,2022,11,1,0
2023-03-30,2022,12,1,0
2023-02-14,2022,12,1,1
2023-03-15,2022,13,1,0
2023-01-12,2022,14,1,0
2022-12-04,2022,14,1,0
2023-02-27,2022,15,1,1
2022-11-05,2022,15,1,0
2023-01-23,2022,16,1,1
2022-10-22,2022,16,1,0
2023-02-23,2022,17,1,0
2023-04-04,2022,18,1,1
2023-02-25,2022,18,1,0
2022-12-07,2022,19,1,0
2023-03-17,2022,20,1,0
2023-03-21,2022,21,1,0
2023-01-07,2022,22,1,0
2023-01-03,2022,23,1,1
2023-01-21,2022,24,1,0
2022-12-05,2022,24,1,0
2023-03-18,2022,25,1,1
2022-11-07,2022,26,1,0
2023-03-28,2022,27,1,1
2023-02-06,2022,28,1,0
2022-11-12,2022,28,1,0
2023-01-16,2022,29,1,0
2023-01-14,2022,29,1,0
2023-02-10,2022,3,2,0
2022-12-31,2022,4,2,0
2022-10-22,2022,4,2,0
2022-12-14,2022,5,2,0
2023-01-06,2022,6,2,1
2022-11-11,2022,7,2,1
2023-01-26,2022,8,2,0
2022-11-07,2022,9,2,1
2022-11-06,2022,10,2,0
2023-03-10,2022,11,2,1
2023-03-08,2022,11,2,0
2022-11-25,2022,12,2,1
2022-11-16,2022,12,2,1
2023-01-14,2022,13,2,1
2023-03-23,2022,14,2,0
2023-03-21,2022,14,2,0
2023-01-24,2022,15,2,1
2022-12-04,2022,15,2,1
2023-04-06,2022,16,2,0
2023-04-04,2022,16,2,0
2023-02-05,2022,17,2,0
2022-12-29,2022,17,2,1
2023-02-15,2022,18,2,1
2023-01-08,2022,19,2,0
2023-01-12,2022,20,2,0
2022-11-09,2022,21,2,1
2022-12-12,2022,22,2,1
2023-01-27,2022,23,2,1
2022-11-28,2022,24,2,1
2022-10-19,2022,24,2,1
2023-01-10,2022,25,2,1
2023-01-18,2022,26,2,1
2023-02-06,2022,27,2,0
2022-11-27,2022,28,2,0
2022-11-04,2022,28,2,0
2023-03-14,2022,29,2,0
2023-03-12,2022,29,2,0
2022-11-09,2022,4,3,0
2023-02-02,2022,5,3,1
2023-01-07,2022,5,3,1
2023-03-30,2022,6,3,0
2023-01-31,2022,6,3,1
2023-03-28,2022,7,3,1
2023-03-03,2022,7,3,1
2023-03-19,2022,8,3,0
2023-03-17,2022,8,3,1
2023-03-25,2022,9,3,0
2022-10-30,2022,9,3,0
2023-02-15,2022,10,3,1
2022-11-02,2022,10,3,1
2023-01-22,2022,11,3,1
2023-01-29,2022,12,3,1
2023-04-09,2022,13,3,1
2022-10-19,2022,14,3,0
2023-02-25,2022,15,3,1
2023-01-20,2022,16,3,1
2022-11-07,2022,17,3,1
2023-01-02,2022,18,3,1
2022-12-17,2022,19,3,1
2022-10-28,2022,19,3,1
2023-03-27,2022,20,3,0
2023-03-01,2022,20,3,0
2023-03-06,2022,21,3,1
2022-12-02,2022,22,3,0
2022-11-23,2022,22,3,0
2023-02-13,2022,23,3,0
2022-12-23,2022,23,3,0
2023-02-23,2022,24,3,1
2022-12-15,2022,25,3,1
2022-12-13,2022,25,3,1
2022-12-31,2022,26,3,1
2022-11-25,2022,26,3,1
2023-01-09,2022,27,3,0
2023-01-13,2022,28,3,0
2022-10-21,2022,29,3,0
2023-04-07,2022,5,4,0
2023-03-08,2022,6,4,0
2022-12-02,2022,7,4,1
2023-03-11,2022,8,4,0
2023-03-27,2022,9,4,1
2023-03-26,2022,10,4,0
2022-12-20,2022,11,4,0
2022-10-19,2022,11,4,0
2023-04-05,2022,12,4,1
2022-11-23,2022,12,4,0
2022-12-18,2022,13,4,1
2023-02-09,2022,14,4,1
2022-11-01,2022,14,4,0
2022-12-23,2022,15,4,0
2023-01-28,2022,16,4,0
2023-02-15,2022,17,4,1
2023-01-24,2022,17,4,1
2023-03-20,2022,18,4,0
2023-01-06,2022,18,4,0
2022-11-30,2022,19,4,1
2023-03-24,2022,20,4,0
2022-12-04,2022,21,4,1
2022-10-28,2022,22,4,1
2022-11-25,2022,23,4,1
2023-02-28,2022,24,4,1
2022-11-06,2022,24,4,1
2022-11-28,2022,25,4,0
2023-02-07,2022,26,4,1
2023-01-11,2022,27,4,1
2022-10-21,2022,27,4,1
2023-03-01,2022,28,4,0
2023-01-19,2022,28,4,0
2023-03-31,2022,29,4,0
2023-01-26,2022,29,4,1
2023-02-15,2022,6,5,1
2022-12-06,2022,6,5,0
2023-02-04,2022,7,5,1
2023-01-02,2022,8,5,0
2022-12-23,2022,8,5,0
2023-02-08,2022,9,5,0
2023-01-10,2022,9,5,1
2023-03-17,2022,10,5,0
2023-01-12,2022,10,5,0
2023-04-01,2022,11,5,1
2022-11-27,2022,12,5,1
2022-12-21,2022,13,5,0
2022-12-19,2022,13,5,1
2022-10-27,2022,14,5,0
2022-12-03,2022,15,5,0
2022-11-09,2022,16,5,1
2023-03-27,2022,17,5,0
2023-03-29,2022,18,5,1
2023-01-26,2022,19,5,0
2022-10-19,2022,19,5,1
2023-01-15,2022,20,5,1
2023-01-14,2022,20,5,1
2023-02-11,2022,21,5,1
2023-02-10,2022,21,5,0
2023-03-15,2022,22,5,0
2022-12-31,2022,22,5,0
2023-01-08,2022,23,5,1
2022-11-26,2022,24,5,1
2023-02-06,2022,25,5,0
2023-01-28,2022,25,5,1
2023-03-20,2022,26,5,1
2023-03-11,2022,26,5,1
2022-11-10,2022,27,5,1
2022-12-01,2022,28,5,1
2023-03-26,2022,29,5,1
