GAME_DATE,SEASON,TEAM_HOME,TEAM_AWAY,TARGET
2022-01-28,2021,0,1,1
2021-11-17,2021,0,1,1
2022-03-31,2021,0,2,1
2022-02-15,2021,0,2,1
2022-03-20,2021,0,3,0
2022-03-03,2021,0,4,1
2021-12-27,2021,0,4,0
2021-10-21,2021,0,5,1
2021-12-17,2021,0,6,0
2022-03-25,2021,0,7,1
2021-12-13,2021,0,8,0
2022-03-11,2021,0,9,1
2022-01-30,2021,0,10,1
2022-01-21,2021,0,11,1
2022-01-12,2021,0,11,0
2022-01-17,2021,0,12,1
2021-11-14,2021,0,12,1
2022-01-19,2021,0,13,1
2022-04-02,2021,0,14,1
2021-12-10,2021,0,14,0
2022-01-15,2021,0,15,0
2021-11-27,2021,0,15,0
2021-12-22,2021,0,16,0
2021-11-15,2021,0,16,1
2022-03-13,2021,0,17,1
2022-02-08,2021,0,17,1
2021-12-03,2021,0,18,0
2022-02-03,2021,0,19,1
2022-03-14,2021,0,20,1
2022-01-26,2021,0,21,1
2022-02-11,2021,0,22,0
2021-11-22,2021,0,23,1
2022-02-26,2021,0,24,1
2022-01-31,2021,0,24,0
2021-11-04,2021,0,25,0
2022-03-18,2021,0,26,1
2022-04-06,2021,0,27,1
2021-11-01,2021,0,27,1
2021-10-25,2021,0,28,1
2021-12-05,2021,0,29,0
2021-11-20,2021,0,29,1
2021-12-22,2021,1,2,1
2022-01-17,2021,1,3,1
2022-01-15,2021,1,4,1
2021-11-01,2021,1,4,0
2022-03-13,2021,1,5,0
2022-02-11,2021,1,6,1
2021-12-17,2021,1,7,0
2021-11-22,2021,1,8,1
2021-12-29,2021,1,9,0
2021-11-19,2021,1,10,1
2022-03-30,2021,1,11,0
2022-01-31,2021,1,11,1
2021-12-13,2021,1,12,1
2021-11-12,2021,1,12,1
2022-03-27,2021,1,13,1
2022-03-06,2021,1,14,1
2021-11-24,2021,1,14,0
2022-01-08,2021,1,15,1
2021-12-18,2021,1,15,1
2022-01-02,2021,1,16,1
2022-04-01,2021,1,17,1
2022-01-10,2021,1,17,1
2021-12-20,2021,1,18,0
2021-12-01,2021,1,18,1
2021-12-31,2021,1,19,1
2022-01-21,2021,1,20,0
2022-01-25,2021,1,21,1
2022-01-05,2021,1,22,0
2021-11-20,2021,1,23,1
2021-11-10,2021,1,24,1
2021-10-22,2021,1,24,0
2022-03-23,2021,1,25,1
2022-03-03,2021,1,26,1
2022-04-03,2021,1,27,1
2021-10-27,2021,1,27,0
2022-03-11,2021,1,28,1
2022-02-16,2021,1,28,0
2022-02-02,2021,1,29,1
2022-01-19,2021,1,29,0
2022-01-31,2021,2,3,1
2022-03-26,2021,2,4,0
2021-12-08,2021,2,4,1
2022-03-30,2021,2,5,0
2022-03-18,2021,2,6,1
2021-11-18,2021,2,7,0
2021-12-15,2021,2,8,1
2022-03-14,2021,2,9,1
2022-03-21,2021,2,10,0
2021-12-13,2021,2,11,1
2022-04-10,2021,2,12,1
2022-01-26,2021,2,12,1
2022-02-28,2021,2,13,0
2022-01-17,2021,2,14,1
2021-11-22,2021,2,14,0
2022-01-24,2021,2,15,1
2022-03-28,2021,2,16,1
2021-11-27,2021,2,16,1
2022-02-06,2021,2,17,1
2022-01-02,2021,2,17,1
2022-04-03,2021,2,18,0
2022-03-16,2021,2,18,0
2021-11-24,2021,2,19,0
2021-11-03,2021,2,20,1
2021-12-11,2021,2,21,1
2022-02-09,2021,2,22,1
2022-01-22,2021,2,23,1
2022-03-06,2021,2,24,1
2021-12-26,2021,2,24,1
2021-12-05,2021,2,25,0
2022-01-04,2021,2,26,0
2022-02-26,2021,2,27,1
2021-11-10,2021,2,27,0
2022-03-19,2021,2,28,1
2021-11-12,2021,2,28,1
2022-03-02,2021,2,29,0
2021-10-22,2021,2,29,0
2022-03-24,2021,3,4,1
2022-02-17,2021,3,5,0
2021-12-01,2021,3,5,0
2022-01-28,2021,3,6,0
2021-12-08,2021,3,6,0
2022-04-10,2021,3,7,0
2022-01-06,2021,3,7,1
2022-03-13,2021,3,8,1
2022-02-08,2021,3,8,1
2022-01-13,2021,3,9,1
2021-11-19,2021,3,9,1
2022-03-27,2021,3,10,1
2022-02-10,2021,3,11,0
2021-12-17,2021,3,12,1
2022-01-11,2021,3,13,1
